Origin,Destination,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month
ALBURY,SYDNEY,43466,15654,384,68.3,452,7075608,10365716,22933,2019,1
ALBURY,SYDNEY,43497,15694,449,63.4,452,7093688,11180220,24735,2019,2
ALBURY,SYDNEY,43525,19333,537,66.6,452,8738516,13119752,29026,2019,3
ALBURY,SYDNEY,43556,19015,497,69.9,452,8594780,12300276,27213,2019,4
ALBURY,SYDNEY,43586,19771,542,67.7,452,8936492,13200208,29204,2019,5
ALBURY,SYDNEY,43617,18094,483,69.1,452,8178488,11836524,26187,2019,6
ALBURY,SYDNEY,43647,20910,541,71.1,452,9451320,13296032,29416,2019,7
ALBURY,SYDNEY,43678,21380,525,75,452,9663760,12892396,28523,2019,8
ALBURY,SYDNEY,43709,20194,521,72.7,452,9127688,12556560,27780,2019,9
ALBURY,SYDNEY,43739,21479,534,74,452,9708508,13126080,29040,2019,10
ALBURY,SYDNEY,43770,20654,525,73.3,452,9335608,12744140,28195,2019,11
ALBURY,SYDNEY,43800,17971,460,70.9,452,8122892,11456844,25347,2019,12
ALBURY,SYDNEY,43831,12665,323,68.4,452,5724580,8372396,18523,2020,1
ALBURY,SYDNEY,43862,15546,459,64.1,452,7026792,10958740,24245,2020,2
ALBURY,SYDNEY,43891,12140,435,52.6,452,5487280,10427188,23069,2020,3
ALBURY,SYDNEY,43922,314,41,16.2,452,141928,877784,1942,2020,4
ALBURY,SYDNEY,43952,416,33,23.7,452,188032,793712,1756,2020,5
ALBURY,SYDNEY,43983,0,0,0,452,0,0,0,2020,6
ALBURY,SYDNEY,44013,0,0,0,452,0,0,0,2020,7
ALBURY,SYDNEY,44044,0,0,0,452,0,0,0,2020,8
ALBURY,SYDNEY,44075,0,0,0,452,0,0,0,2020,9
ALBURY,SYDNEY,44105,0,0,0,452,0,0,0,2020,10
ALBURY,SYDNEY,44136,0,0,0,452,0,0,0,2020,11
ALBURY,SYDNEY,44166,0,0,0,452,0,0,0,2020,12
ADELAIDE,ALICE SPRINGS,43466,10281,115,66.6,1316,13529796,20329568,15448,2019,1
ADELAIDE,ALICE SPRINGS,43497,9463,104,66.1,1316,12453308,18829328,14308,2019,2
ADELAIDE,ALICE SPRINGS,43525,11043,118,67.9,1316,14532588,21417900,16275,2019,3
ADELAIDE,ALICE SPRINGS,43556,14062,124,78.1,1316,18505592,23680104,17994,2019,4
ADELAIDE,ALICE SPRINGS,43586,12744,123,73.4,1316,16771104,22847076,17361,2019,5
ADELAIDE,ALICE SPRINGS,43617,12995,117,79.6,1316,17101420,21488964,16329,2019,6
ADELAIDE,ALICE SPRINGS,43647,14610,126,82,1316,19226760,23435328,17808,2019,7
ADELAIDE,ALICE SPRINGS,43678,12776,122,75.4,1316,16813216,22293040,16940,2019,8
ADELAIDE,ALICE SPRINGS,43709,12781,118,77.5,1316,16819796,21708736,16496,2019,9
ADELAIDE,ALICE SPRINGS,43739,13355,123,78.9,1316,17575180,22279880,16930,2019,10
ADELAIDE,ALICE SPRINGS,43770,11053,118,76.9,1316,14545748,18918816,14376,2019,11
ADELAIDE,ALICE SPRINGS,43800,9466,120,64.5,1316,12457256,19324144,14684,2019,12
ADELAIDE,ALICE SPRINGS,43831,8618,113,61.9,1316,11341288,18335828,13933,2020,1
ADELAIDE,ALICE SPRINGS,43862,8505,114,57.1,1316,11192580,19592608,14888,2020,2
ADELAIDE,ALICE SPRINGS,43891,7152,114,46.2,1316,9412032,20388788,15493,2020,3
ADELAIDE,ALICE SPRINGS,43922,0,0,0,1316,0,0,0,2020,4
ADELAIDE,ALICE SPRINGS,43952,0,0,0,1316,0,0,0,2020,5
ADELAIDE,ALICE SPRINGS,43983,0,0,0,1316,0,0,0,2020,6
ADELAIDE,ALICE SPRINGS,44013,0,0,0,1316,0,0,0,2020,7
ADELAIDE,ALICE SPRINGS,44044,0,0,0,1316,0,0,0,2020,8
ADELAIDE,ALICE SPRINGS,44075,0,0,0,1316,0,0,0,2020,9
ADELAIDE,ALICE SPRINGS,44105,9390,129,62,1316,12357240,19920292,15137,2020,10
ADELAIDE,ALICE SPRINGS,44136,0,0,0,1316,0,0,0,2020,11
ADELAIDE,ALICE SPRINGS,44166,0,0,0,1316,0,0,0,2020,12
ADELAIDE,BRISBANE,43466,71227,585,75.3,1622,115530194,153470396,94618,2019,1
ADELAIDE,BRISBANE,43497,57987,489,72.5,1622,94054914,129712962,79971,2019,2
ADELAIDE,BRISBANE,43525,69034,539,78.1,1622,111973148,143311810,88355,2019,3
ADELAIDE,BRISBANE,43556,74831,534,80.4,1622,121375882,150946564,93062,2019,4
ADELAIDE,BRISBANE,43586,69620,540,73.8,1622,112923640,153029212,94346,2019,5
ADELAIDE,BRISBANE,43617,64411,513,72,1622,104474642,145113852,89466,2019,6
ADELAIDE,BRISBANE,43647,78957,545,82.6,1622,128068254,155134568,95644,2019,7
ADELAIDE,BRISBANE,43678,73765,537,79.2,1622,119646830,151021176,93108,2019,8
ADELAIDE,BRISBANE,43709,75747,539,80.1,1622,122861634,153353612,94546,2019,9
ADELAIDE,BRISBANE,43739,86017,575,86.2,1622,139519574,161908040,99820,2019,10
ADELAIDE,BRISBANE,43770,75534,537,81.5,1622,122516148,150271812,92646,2019,11
ADELAIDE,BRISBANE,43800,78176,559,80.6,1622,126801472,157369684,97022,2019,12
ADELAIDE,BRISBANE,43831,75173,545,78.8,1622,121930606,154699872,95376,2020,1
ADELAIDE,BRISBANE,43862,60687,496,70.3,1622,98434314,140025638,86329,2020,2
ADELAIDE,BRISBANE,43891,45456,422,62.3,1622,73729632,118256776,72908,2020,3
ADELAIDE,BRISBANE,43922,0,0,0,1622,0,0,0,2020,4
ADELAIDE,BRISBANE,43952,0,0,0,1622,0,0,0,2020,5
